element,POTCAR,ENCUT,MOMENT
Ac,Ac ,172,1.0
Ag,Ag ,250,1.0
Al,Al ,240,1.0
Am,Am ,256,1.0
Ar,Ar ,266,1.0
As,As ,209,1.0
At,At_d_GW,266,1.0
Au,Au ,230,1.0
B,B ,319,1.0
Ba,Ba_sv ,187,1.0
Be,Be ,248,1.0
Bi,Bi_d ,243,1.0
Br,Br ,216,1.0
C,C ,400,1.0
Ca,Ca_sv ,267,1.0
Cd,Cd ,274,1.0
Ce,Ce ,273,2.0
Cl,Cl ,262,1.0
Cm,Cm ,258,1.0
Co,Co ,268,2.0
Cr,Cr_pv ,266,1.0
Cs,Cs_sv ,220,1.0
Cu,Cu ,295,1.0
Dy,Dy_3 ,156,10.0
Er,Er_3,155,10.0
Eu,Eu_2 ,99,1.0
F,F ,400,1.0
Fe,Fe ,268,2.0
Fr,Fr_sv ,215,1.0
Ga,Ga_d ,283,1.0
Gd,Gd_3 ,154,7.0
Ge,Ge_d ,310,1.0
H,H ,250,1.0
He,He ,479,1.0
Hf,Hf_pv ,220,1.0
Hg,Hg ,233,1.0
Ho,Ho_3 ,154,10.0
I,I ,176,1.0
In,In_d ,239,1.0
Ir,Ir ,211,1.0
K,K_sv ,259,1.0
Kr,Kr ,185,1.0
La,La ,219,1.0
Li,Li_sv ,499,1.0
Lu,Lu_3 ,155,1.0
Mg,Mg ,200,1.0
Mn,Mn_pv ,270,2.0
Mo,Mo_sv ,243,1.0
N,N ,400,1.0
Na,Na_pv ,260,1.0
Nb,Nb_sv,293,1.0
Nd,Nd_3,183,3.0
Ne,Ne ,344,1.0
Ni,Ni ,270,1.0
Np,Np ,254,1.0
O,O ,400,1.0
Os,Os ,228,1.0
P,P ,255,1.0
Pa,Pa ,252,1.0
Pb,Pb_d ,238,1.0
Pd,Pd ,251,1.0
Pm,Pm_3 ,177,2.0
Po,Po_d ,265,1.0
Pr,Pr_3 ,182,3.0
Pt,Pt ,230,1.0
Pu,Pu ,254,1.0
Ra,Ra_sv ,237,1.0
Rb,Rb_sv ,220,1.0
Re,Re ,226,1.0
Rh,Rh_pv ,247,1.0
Rn,Rn ,152,1.0
Ru,Ru_pv ,240,1.0
S,S ,259,1.0
Sb,Sb ,172,1.0
Sc,Sc_sv ,223,1.0
Se,Se ,212,1.0
Si,Si ,245,1.0
Sm,Sm_3 ,177,1.0
Sn,Sn_d,241,1.0
Sr,Sr_sv ,229,1.0
Ta,Ta_pv,224,1.0
Tb,Tb_3,156,9.0
Tc,Tc_pv ,264,1.0
Te,Te ,175,1.0
Th,Th ,247,1.0
Ti,Ti_sv ,275,1.0
Tl,Tl_d ,237,1.0
Tm,Tm_3,149,7.0
U,U ,253,1.0
V,V_sv ,264,1.0
W,W_sv,223,1.0
Xe,Xe ,153,1.0
Y,Y_sv ,203,1.0
Yb,Yb_2,113,4.0
Zn,Zn ,277,1.0
Zr,Zr_sv ,230,1.0
