count,compound,lattice_system_relax,spacegroup_relax,volume_cell,spin_cell,mag_field,mag_sites
0,Ag3C6Fe1N6,hexagonal,162,315.041,1.00406,0.037142765,0
1,Ag3C6Fe1N6,hexagonal,162,319.372,1.00391,0.036633598,0
2,Ag3C6K1Mn1N6,hexagonal,149,334.876,0.999601,0.034787586,0
3,Ag3C6K1Mn1N6,hexagonal,149,331.634,0.999698,0.035131073,0
4,Ag3C6K1Mn1N6,hexagonal,149,334.055,0.999911,0.034883898,0
5,Ag3C6K1Mn1N6,monoclinic,5,330.222,1.00015,0.035297242,0
6,Ag3C6K1Mn1N6,hexagonal,149,334.205,0.999825,0.034865242,0
7,Ag4Ce4Cu20,orthorhombic,62,449.227,4.19164,0.108742613,0
8,Ag2Co2O4,orthorhombic,63,99.7318,7.99991,0.93483095,0
9,Ag2Co2O4,hexagonal,194,100.585,7.99838,0.926724088,0
10,Ag2Co2O4,orthorhombic,63,122.261,4.13891,0.394529678,0
11,Ag4Co4O8,hexagonal,194,200.968,15.9929,0.927431729,0
12,Ag4Co6O28P8,triclinic,2,544.259,18.0339,0.386158569,0
13,Ag4Co4O16P4,triclinic,2,336.042,11.9996,0.416154741,0
14,Ag9Co6O18Sb3,hexagonal,151,491.872,18.0133,0.426798436,0
15,Ag1Cu4Nd1,cubic,216,97.9262,3.04549,0.362443165,0
16,Ag4Cu4O6,tetragonal,141,193.72,3.99499,0.240338239,0
17,Ag8Cu8O32P8,orthorhombic,61,699.511,8.00006,0.133284711,0
18,Ag4Cu4O16P4,monoclinic,14,342.265,3.99996,0.136199275,0
19,Ag8Cu2O12Te2,monoclinic,15,322.82,2.00643,0.072434459,0
20,Ag4Cu4O16V4,orthorhombic,62,351.683,4.00255,0.132637714,0
21,Ag4Cu4O16V4,orthorhombic,62,351.324,4.00259,0.132774577,0
22,Ag1Cu4U1,cubic,216,97.5381,3.00121,0.358594589,0
23,Ag2F6Rb2,tetragonal,140,178.946,1.99998,0.130252269,0
24,Ag1Fe1O2,rhombohedral,166,47.2993,1.68211,0.414458755,0
25,Ag2Fe2O4,hexagonal,194,94.7062,4.57587,0.56308882,0
26,Ag4Fe4O28P8,monoclinic,14,545.47,20.0051,0.427416708,0
27,Ag4Fe4O24Se8,orthorhombic,33,592.792,20.0604,0.394383642,0
28,Ag2Fe2O14V4,triclinic,2,300.356,10,0.388012151,0
29,Ag6Fe2O16V4,monoclinic,15,379.047,10.0159,0.307948827,0
30,Ag4Fe8S12,triclinic,2,574.473,36.0001,0.730324254,0
31,Ag2Fe2S4,tetragonal,122,181.634,9.99579,0.641359622,0
32,Ag2Fe2S4,tetragonal,122,182.576,9.99555,0.638035211,0
33,Ag2Fe1S4Sn1,tetragonal,121,196.099,4.0029,0.237892637,0
34,Ag2H4Ni6O24P6,monoclinic,15,432.966,12.0159,0.323432867,0
35,Ag1Mn3N1,cubic,221,77.6056,12.8545,1.930384253,0
36,Ag8Mn4O16,orthorhombic,62,408.294,3.99774,0.114109864,0
37,Ag4Mn4O16,monoclinic,14,339.911,7.99957,0.274273003,0
38,Ag16Mn12O32,rhombohedral,155,748.191,36.0002,0.560756185,0
39,Ag4Mn6O28P8,triclinic,2,568.43,30.0034,0.615141631,0
40,Ag4Mn2O16Sr2V4,monoclinic,15,395.868,10.0211,0.295016725,0
41,Ag4Mn4O16V4,orthorhombic,62,369.184,20,0.631347933,0
42,Ag8Mn2S12Sb4,monoclinic,14,631.94,9.99633,0.184351373,0
43,Ag8Mn2S12Sb4,monoclinic,14,731.3,9.98844,0.159178252,0
44,Ag8Mn2S12Sb4,monoclinic,14,688.585,10.0026,0.169292213,0
45,Ag2Ni1O2,rhombohedral,166,61.9345,1.27643,0.240185069,0
46,Ag2Ni1O2,rhombohedral,166,61.9528,1.27516,0.239875217,0
47,Ag2Ni1O2,rhombohedral,166,62.008,1.26667,0.238066013,0
48,Ag2Ni1O2,rhombohedral,166,62.0282,1.27651,0.239837275,0
49,Ag2Ni1O2,rhombohedral,166,62.0136,1.2732,0.239271694,0
50,Ag2Ni1O2,rhombohedral,166,62.0257,1.27562,0.239679717,0
51,Ag1Ni1O2,rhombohedral,166,47.7386,1.00239,0.244708292,0
52,Ag2Ni1O2,rhombohedral,166,62.1248,1.27747,0.239644433,0
53,Ag2Ni1O2,rhombohedral,166,61.9851,1.27572,0.239855508,0
54,Ag2Ni1O2,rhombohedral,166,61.9595,1.27703,0.240201013,0
55,Ag2Ni1O2,rhombohedral,166,62.0265,1.27676,0.239890821,0
56,Ag2Ni1O2,rhombohedral,166,61.9614,1.27542,0.239890826,0
57,Ag2Ni1O2,monoclinic,12,62.0126,1.24495,0.233966462,0
58,Ag2Ni1O2,rhombohedral,166,61.886,1.27452,0.240013616,0
59,Ag6Ni4O8,hexagonal,194,219.549,4.31789,0.229203766,0
60,Ag2Ni2O4,hexagonal,194,95.344,2.00268,0.244793471,0
61,Ag2Ni1O2,rhombohedral,166,61.9359,1.26114,0.237302594,0
