element,ENCUT,mag_moment
H,250,0
He,479,0
Li,499,0
Be,248,0
B,319,0
C,400,0
N,400,0
O,400,0
F,400,0
Ne,344,0
Na,260,0
Mg,200,0
Al,240,
Si,245,0
P,255,0
S,259,0
Cl,262,0
Ar,266,0
K,259,0
Ca,267,0
Sc,223,0
Ti,275,0
V,264,0
Cr,266,0.5
Mn,270,2
Fe,268,2
Co,268,1
Ni,270,0
Cu,295,0
Zn,277,0
Ga,283,0
Ge,310,0
As,209,0
Se,212,0
Br,216,0
Kr,185,0
Rb,220,0
Sr,229,0
Y,203,0
Zr,230,0
Nb,293,0
Mo,243,0
Tc,264,0
Ru,240,0
Rh,247,0
Pd,251,0
Ag,250,0
Cd,274,0
In,239,0
Sn,241,
Sb,172,0
Te,175,0
I,176,0
Xe,153,0
Cs,220,
Ba,187,
La,219,0
Ce,273,2
Pr,182,3
Nd,183,3
Pm,177,2
Sm,177,1
Eu,99,0
Gd,154,7
Tb,156,9
Dy,156,10
Ho,154,10
Er,155,10
Tm,149,7
Yb,113,4
Lu,155,0
Hf,220,
Ta,224,
W,223,
Re,226,
Os,228,
Ir,211,
Pt,230,
Au,230,0
Hg,233,0
Tl,237,0
Pb,238,0
Bi,243,0
Po,265,
At,266,
Rn,152,
Fr,215,
Ra,237,
Ac,172,
Th,247,
Pa,252,
U,253,
Np,254,
Pu,254,
Am,256,
Cm,258,
